,report_date,cookie_id,customer_id,ga_session_id,event_timestamp,visit_factory,event_timestamp_click,factory_product_click,product_id
85,2023-12-06,244423632.1701245795,14499,1701901610,2023-12-06 14:40:32,Qimei Industrial Group,,,
86,2023-12-06,244423632.1701245795,14499,1701901610,2023-12-06 14:42:10,Qimei Industrial Group,,,
87,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 15:17:57,Qimei Industrial Group,,,
88,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 15:22:14,Unicorn Nutrition,,,
89,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 15:27:35,JK Botanicals,2023-12-06 15:27:43,Organic Tribulus Terrestris Powder Steam Treated by JK Botanicals, 109307-JKBP-12306
90,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 15:28:30,JK Botanicals,2023-12-06 15:33:07,Tongkat Ali Powder Steam Treated by JK Botanicals, 107097-JKBP-12306
91,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 15:57:33,Connoils,2023-12-06 15:59:41,Black Cumin Seed Oil Virgin by Connoils, 99352-CONNOILS-99999
92,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 16:04:17,Connoils,,,
93,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 16:10:47,USHA Industries,,,
94,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 16:18:37,Hanzhong TRG Biotech,2023-12-06 16:23:01,Polygonum Cuspidatum Extract 10:1 by TRG, 44030-TRG-11248
95,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 16:24:30,Hanzhong TRG Biotech,2023-12-06 16:24:37,Horny Goat Weed Extract 10% Icariin by TRG, 38802-TRG-11248
96,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 16:24:53,Hanzhong TRG Biotech,2023-12-06 16:25:00,Horny Goat Weed Extract 10% Icariin by TRG, 38802-TRG-11248
97,2023-12-06,244423632.1701245795,14499,1701904533,2023-12-06 16:27:07,Hanzhong TRG Biotech,2023-12-06 16:27:33,Horny Goat Weed Extract 10% Icariins by TRG, 38803-TRG-11248
98,2023-12-06,269790156.1701462030,(not set),1701902857,2023-12-06 14:52:41,Baolingbao Biology,,,
99,2023-12-06,33303339.1701688119,(not set),1701881675,2023-12-06 08:54:34,U.S. Greens,,,
100,2023-12-06,33303339.1701688119,(not set),1701895377,2023-12-06 12:42:56,Ningbo Yipin Biotechnology,,,
101,2023-12-06,341752347.1681825141,15740,1701887014,2023-12-06 10:23:38,Sigachi Industries,,,
102,2023-12-06,349567524.1701889375,(not set),1701889375,2023-12-06 11:03:00,KLK OLEO,,,
103,2023-12-06,391656882.1701875990,(not set),1701875990,2023-12-06 07:20:49,Grain Millers Canada,,,
104,2023-12-06,460529429.1701382143,21800,1701889968,2023-12-06 11:12:53,Bloomage Biotech,,,
105,2023-12-06,466691553.1700665311,19114,1701873591,2023-12-06 06:40:22,Certified Nutraceuticals,,,
106,2023-12-06,516112894.1696684160,15694,1701890340,2023-12-06 11:19:04,BLGZJTH,,,
107,2023-12-06,516112894.1696684160,15694,1701890340,2023-12-06 11:26:27,BLGZJTH,,,
108,2023-12-06,618180171.1700099216,(not set),1701924084,2023-12-06 20:53:41,American Botanicals,,,
109,2023-12-06,618180171.1700099216,(not set),1701933155,2023-12-06 23:12:57,Pearl Group,,,
110,2023-12-06,641372373.1701287251,(not set),1701875164,2023-12-06 07:06:03,Sunshine Biotech International,,,
111,2023-12-06,842069312.1697596995,14090,1701907421,2023-12-06 16:07:55,Pearl Group,,,
112,2023-12-06,842069312.1697596995,14090,1701919250,2023-12-06 19:20:52,Pearl Group,,,
113,2023-12-06,842069312.1697596995,14090,1701932469,2023-12-06 23:36:11,Changsha Heking Bio-tech,,,
114,2023-12-06,842069312.1697596995,14090,1701932469,2023-12-06 23:55:42,Herb Green Health,,,
